feature,importance
compensation_pending_cases,0.05406417
acquisition_velocity_pct_per_30d,0.026870385
pending_objections,0.022007292
current_stage_Notification,0.018784065
documents_pending,0.0182172
current_stage_Rehabilitation,0.01762336
planned_duration_days,0.01705211
project_type_Metro,0.017016113
possession_pending_parcels,0.015789114
documents_required,0.015687834
court_stay_cases,0.015617089
current_stage_Survey,0.015553201
approvals_required,0.015492042
project_type_Power,0.015305567
stakeholder_responsiveness_score,0.014345865
land_type_Commercial,0.014006566
rr_pending_cases,0.013966368
complexity_score,0.013916003
schedule_variance_days,0.01384529
ownership_disputes,0.013829609
overdue_approvals,0.0132742105
compensation_assessed_amount,0.013151913
affected_families,0.013096554
milestones_overdue,0.012967506
parcels_pending,0.012959179
documents_verified,0.012908138
avg_approval_delay_days,0.012766015
parcels_acquired,0.012702391
avg_stakeholder_response_days,0.012692623
land_area_hectares,0.012629895
project_type_Railway,0.012606041
families_requiring_rr,0.012471955
possession_progress_pct,0.012467407
priority_Critical,0.012455513
avg_compensation_delay_days,0.012444863
priority_High,0.012427311
current_stage_Valuation,0.012311955
historical_avg_delay_days,0.012298378
compensation_total_amount,0.012207746
rr_completion_pct,0.012198244
days_in_current_stage,0.012194609
project_type_Urban Development,0.012174213
compensation_pending_amount,0.012158531
pending_stakeholder_actions,0.012053976
compensation_disbursed_amount,0.011984045
families_rr_completed,0.011916071
total_parcels,0.011886538
approvals_completed,0.011871026
planned_stage_duration_days,0.011816008
authority_historical_delay_rate,0.011792503
approval_completion_pct,0.011752022
resolved_legal_disputes,0.0117247505
acquisition_progress_pct,0.011624952
project_type_Irrigation,0.011606397
project_type_Industrial,0.011515674
district_historical_delay_rate,0.011491024
documentation_completion_pct,0.011356049
compensation_completion_pct,0.011333044
land_type_Industrial,0.011331188
project_type_Highway,0.011109557
interdepartmental_pending_actions,0.010949869
active_legal_disputes,0.010937061
current_stage_Possession,0.010919847
land_type_Residential,0.010804148
project_type_historical_delay_rate,0.010748651
priority_Normal,0.010705585
days_since_notification,0.010353453
milestones_completed,0.010249389
current_stage_Compensation,0.010133907
snapshot_day,0.009743937
land_type_Mixed,0.009641205
approvals_pending,0.0087219905
land_type_Agricultural,0.008251538
days_elapsed,0.006602224
milestones_due,0.0045179264
current_stage_Closure,0.0
